Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Sale_Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Mileage_To_Engine_Ratio
29.0,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000.0,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,0.005132317562149158
30.0,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000.0,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75,1.0,0.0,0.0,0.0,1.0,0.013011635865845313
31.0,Toyota Corolla Altis G,Delhi,2012,87615.0,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75,0.0,0.0,1.0,0.0,1.0,0.008081201334816462
32.0,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000.0,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,1.0,0.0,0.0,1.0,0.0,0.004146884272997033
33.0,Audi A6 2.7 TDI,Kolkata,2010,35000.0,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5,1.0,0.0,0.0,1.0,0.0,0.004595997034840623
34.0,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431.0,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98,0.0,0.0,1.0,0.0,1.0,0.010068836045056321
35.0,Maruti Wagon R LXI BSIII,Jaipur,2009,83816.0,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,0.0,0.0,1.0,0.0,1.0,0.013195098963242224
36.0,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,1.0,0.0,0.0,0.0,1.0,0.019471153846153846
37.0,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000.0,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,0.0,0.0,1.0,0.0,1.0,0.015150250417362269
38.0,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000.0,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,1.0,0.0,0.0,1.0,0.0,0.003930364914630064
39.0,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.018407005838198497
40.0,Maruti Alto LXi,Delhi,2008,90000.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,0.0,0.0,1.0,0.0,1.0,0.024748743718592963
41.0,Tata Nano LX SE,Kochi,2014,19698.0,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,0.0,0.0,1.0,0.0,1.0,0.040705128205128206
42.0,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033.0,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,1.0,0.0,0.0,0.0,1.0,0.021135225375626045
43.0,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487.0,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,0.0,0.0,1.0,0.0,1.0,0.015455304928989139
44.0,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374.0,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,0.0,0.0,1.0,1.0,0.0,0.007313656828414207
45.0,Toyota Corolla Altis G AT,Mumbai,2016,52001.0,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,0.0,0.0,1.0,1.0,0.0,0.007942157953281423
46.0,Hyundai Elantra CRDi,Ahmedabad,2008,58005.0,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,1.0,0.0,0.0,0.0,1.0,0.007483676544450025
47.0,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704.0,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,0.0,0.0,1.0,0.0,1.0,0.0041759465478841875
48.0,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000.0,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,1.0,0.0,0.0,0.0,1.0,0.021785714285714283
49.0,Mahindra Thar CRDe AC,Jaipur,2012,75800.0,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,1.0,0.0,0.0,0.0,1.0,0.006625300240192154
50.0,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648.0,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,1.0,0.0,0.0,1.0,0.0,0.00869410569105691
51.0,Maruti Swift LDI,Delhi,2014,52000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,1.0,0.0,0.0,0.0,1.0,0.01834935897435897
52.0,Maruti Swift Ldi BSIV,Kolkata,2014,53000.0,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,1.0,0.0,0.0,0.0,1.0,0.014262820512820514
53.0,Maruti Swift VDI,Delhi,2013,65650.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,1.0,0.0,0.0,0.0,1.0,0.022756410256410255
54.0,Hyundai Grand i10 Sportz,Chennai,2015,54000.0,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,0.0,0.0,1.0,0.0,1.0,0.015789473684210527
55.0,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000.0,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,0.0,0.0,1.0,0.0,1.0,0.009411764705882352
56.0,Renault KWID RXT,Kochi,2017,16542.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,0.0,0.0,1.0,0.0,1.0,0.03150187734668335
57.0,Hyundai i10 Asta,Kolkata,2010,32000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,0.0,0.0,1.0,0.0,1.0,0.01700918964076859
58.0,Nissan X-Trail SLX AT,Hyderabad,2010,121812.0,Diesel,Automatic,First,12.82,1995.0,147.6,5.0,7.75,1.0,0.0,0.0,1.0,0.0,0.006426065162907268
59.0,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300.0,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,0.0,0.0,1.0,0.0,1.0,0.01823647294589178
60.0,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000.0,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,1.0,0.0,0.0,0.0,1.0,0.00571667363142499
61.0,Ford Figo Diesel Titanium,Bangalore,2010,72000.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,1.0,0.0,0.0,0.0,1.0,0.014295925661186561
62.0,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000.0,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,0.0,0.0,1.0,1.0,0.0,0.006536748329621381
63.0,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000.0,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,1.0,0.0,0.0,0.0,1.0,0.007355679702048417
64.0,Tata Indica V2 eLS,Chennai,2016,178000.0,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,1.0,0.0,0.0,0.0,1.0,0.01790830945558739
65.0,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664.0,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,1.0,0.0,0.0,1.0,0.0,0.008409552845528455
66.0,Honda City ZX CVT,Mumbai,2007,63000.0,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,0.0,0.0,1.0,1.0,0.0,0.010955243820975282
67.0,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369.0,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67,1.0,0.0,0.0,1.0,0.0,0.0
68.0,Maruti Ertiga SHVS VDI,Pune,2016,63000.0,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,1.0,0.0,0.0,0.0,1.0,0.019647435897435898
69.0,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000.0,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,1.0,0.0,0.0,0.0,1.0,0.015830945558739255
70.0,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000.0,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,0.0,0.0,1.0,1.0,0.0,0.0017686225551394091
71.0,Mahindra XUV500 W8 4WD,Mumbai,2015,55729.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,1.0,0.0,0.0,0.0,1.0,0.006929784304726939
72.0,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178.0,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,0.0,0.0,1.0,1.0,0.0,0.014160401002506266
73.0,Nissan Terrano XV D Pre,Kochi,2015,56066.0,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,1.0,0.0,0.0,0.0,1.0,0.013442847364818617
74.0,Honda Brio VX AT,Coimbatore,2016,37300.0,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,0.0,0.0,1.0,1.0,0.0,0.013772954924874792
75.0,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000.0,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,1.0,0.0,0.0,1.0,0.0,0.009415650406504066
77.0,Toyota Innova 2.0 G1,Chennai,2006,230000.0,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,0.0,0.0,1.0,0.0,1.0,0.006206206206206206
78.0,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000.0,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,1.0,0.0,0.0,0.0,1.0,0.005132317562149158
80.0,Maruti Swift VDI,Jaipur,2012,95100.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,1.0,0.0,0.0,0.0,1.0,0.01834935897435897
81.0,Tata Zest Revotron 1.2T XE,Pune,2017,70000.0,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,0.0,0.0,1.0,0.0,1.0,0.014727577535624476
82.0,Honda Amaze SX i-VTEC,Kochi,2016,54944.0,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,0.0,0.0,1.0,0.0,1.0,0.015025041736227046
83.0,Ford Figo Diesel ZXI,Hyderabad,2012,70337.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,1.0,0.0,0.0,0.0,1.0,0.014295925661186561
84.0,Maruti Ritz VDi,Jaipur,2013,99638.0,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,1.0,0.0,0.0,0.0,1.0,0.01858974358974359
85.0,Honda City i VTEC E,Delhi,2009,52000.0,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,0.0,0.0,1.0,0.0,1.0,0.011890447561790248
86.0,BMW 5 Series 2003-2012 525d,Delhi,2011,75000.0,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,1.0,0.0,0.0,1.0,0.0,0.008385964912280702
87.0,Hyundai i10 Sportz 1.2,Pune,2009,95980.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,0.0,0.0,1.0,0.0,1.0,0.01700918964076859
88.0,Hyundai Grand i10 Sportz,Bangalore,2016,16000.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,0.0,0.0,1.0,0.0,1.0,0.015789473684210527
90.0,Honda Amaze SX i-VTEC,Mumbai,2016,18949.0,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.014858096828046745
91.0,Toyota Fortuner 4x2 Manual,Delhi,2014,107000.0,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,1.0,0.0,0.0,0.0,1.0,0.004359490274983233
92.0,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,1.0,0.0,0.0,1.0,0.0,0.008983739837398374
93.0,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,1.0,0.0,0.0,0.0,1.0,0.015153538050734312
94.0,Mahindra XUV500 W8 2WD,Delhi,2014,58000.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,1.0,0.0,0.0,0.0,1.0,0.006929784304726939
95.0,Honda Amaze SX i-DTEC,Kolkata,2015,30000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,1.0,0.0,0.0,0.0,1.0,0.017222963951935916
96.0,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,1.0,0.0,0.0,0.0,1.0,0.018407005838198497
97.0,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002.0,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,1.0,0.0,0.0,0.0,1.0,0.010850636302746148
98.0,Maruti Wagon R VXI BS IV,Bangalore,2016,62000.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,0.0,0.0,1.0,0.0,1.0,0.018937875751503006
99.0,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001.0,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,0.0,0.0,1.0,0.0,1.0,0.009549436795994994
100.0,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958.0,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,1.0,0.0,0.0,0.0,1.0,0.0164756446991404
101.0,Hyundai i20 Asta 1.2,Mumbai,2014,30180.0,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,0.0,0.0,1.0,0.0,1.0,0.015455304928989139
102.0,Datsun GO Plus T Petrol,Pune,2017,32851.0,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,0.0,0.0,1.0,0.0,1.0,0.016552587646076793
103.0,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000.0,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,1.0,0.0,0.0,1.0,0.0,0.005035389282103135
104.0,Hyundai i20 2015-2017 Asta,Pune,2009,66000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,0.0,0.0,1.0,0.0,1.0,0.014202172096908938
105.0,Maruti Omni 5 Str STD,Coimbatore,2010,93850.0,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,0.0,0.0,1.0,0.0,1.0,0.017587939698492462
106.0,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000.0,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,0.0,0.0,1.0,0.0,1.0,0.014795321637426901
107.0,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000.0,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0049248245907116605
108.0,Mahindra XUV500 W8 2WD,Delhi,2012,65000.0,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,1.0,0.0,0.0,0.0,1.0,0.0073428178063331805
109.0,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000.0,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,1.0,0.0,0.0,1.0,0.0,0.014108723135271808
110.0,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000.0,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,1.0,0.0,0.0,1.0,0.0,0.004123411978221416
111.0,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053.0,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,0.0,0.0,1.0,0.0,1.0,0.012625418060200668
112.0,Tata Nano Twist XT,Bangalore,2014,25500.0,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,0.0,0.0,1.0,0.0,1.0,0.040705128205128206
113.0,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,1.0,0.0,0.0,1.0,0.0,0.0113734335839599
114.0,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,0.0,0.0,1.0,0.0,1.0,0.007504168982768205
115.0,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,1.0,0.0,0.0,0.0,1.0,0.00520850040096231
116.0,Volvo V40 Cross Country D3,Bangalore,2014,32700.0,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,1.0,0.0,0.0,1.0,0.0,0.011743951612903225
117.0,Nissan Micra XV CVT,Coimbatore,2016,39882.0,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,0.0,0.0,1.0,1.0,0.0,0.015984974958263773
118.0,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000.0,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,0.0,0.0,1.0,1.0,0.0,0.004325190228273929
119.0,Maruti Vitara Brezza VDi,Mumbai,2016,55000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,1.0,0.0,0.0,0.0,1.0,0.019471153846153846
121.0,Mercedes-Benz B Class B200 CDI,Pune,2014,53753.0,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,1.0,0.0,0.0,1.0,0.0,0.006999533364442371
122.0,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250.0,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,1.0,0.0,0.0,0.0,1.0,0.01390644753476612
123.0,Maruti Wagon R LXI BS IV,Pune,2011,43874.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,0.0,0.0,1.0,0.0,1.0,0.018937875751503006
124.0,Tata Nano XTA,Coimbatore,2017,32684.0,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,0.0,0.0,1.0,1.0,0.0,0.035096153846153846
125.0,Mahindra Scorpio VLX,Kolkata,2014,42000.0,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,1.0,0.0,0.0,0.0,1.0,0.005530059660394677
126.0,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352.0,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,0.0,0.0,1.0,1.0,0.0,0.006514476614699331
128.0,Honda CR-V 2.4 MT,Bangalore,2007,47700.0,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,0.0,0.0,1.0,0.0,1.0,0.004587935429056925
129.0,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000.0,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,1.0,0.0,0.0,1.0,0.0,0.014158878504672897
130.0,Maruti Ciaz VXi Plus,Kochi,2017,44285.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,0.0,0.0,1.0,0.0,1.0,0.015098324836125273
131.0,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000.0,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,1.0,0.0,0.0,1.0,0.0,0.0073428178063331805
132.0,Maruti Ritz VXI ABS,Coimbatore,2016,30232.0,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,0.0,0.0,1.0,0.0,1.0,0.017627401837928155
133.0,Maruti Alto K10 VXI,Hyderabad,2014,88500.0,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,0.0,0.0,1.0,0.0,1.0,0.024118236472945892
134.0,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372.0,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,0.0,0.0,1.0,1.0,0.0,0.006341789052069426
135.0,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645.0,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,0.0,0.0,1.0,1.0,0.0,0.010685103708359522
136.0,Maruti Alto LXi BSIII,Chennai,2010,94385.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6,0.0,0.0,1.0,0.0,1.0,0.024748743718592963
137.0,BMW 1 Series 118d Base,Coimbatore,2015,31821.0,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,1.0,0.0,0.0,1.0,0.0,0.01031578947368421
138.0,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000.0,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0158465387823186
139.0,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95,0.0,0.0,1.0,0.0,1.0,0.007504168982768205
140.0,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965.0,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95,1.0,0.0,0.0,1.0,0.0,0.008992067195520299
141.0,Honda Amaze SX i-DTEC,Kolkata,2014,45044.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,1.0,0.0,0.0,0.0,1.0,0.017222963951935916
142.0,Maruti Swift VVT VXI,Kochi,2016,34204.0,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,0.0,0.0,1.0,0.0,1.0,0.018379281537176273
144.0,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235.0,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49,1.0,0.0,0.0,0.0,1.0,0.0038564721663313212
145.0,Chevrolet Beat LT Option,Pune,2014,38800.0,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85,0.0,0.0,1.0,0.0,1.0,0.015512927439532946
146.0,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000.0,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,1.0,0.0,0.0,0.0,1.0,0.014112149532710281
147.0,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,0.0,0.0,1.0,0.0,1.0,0.015098324836125273
148.0,Audi RS5 Coupe,Mumbai,2013,23000.0,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0,0.0,0.0,1.0,1.0,0.0,0.0038182446440912237
